Name;AvgMaxForce;ForceDeviation;AvgMaxSigma;SigmaDeviation;Display
Referencia;3458.3998;28.870578600021155;28.819998333333334;0.24058815500017652;x
10m%,125μ;1093.604;242.71201789569463;9.113366666666666;2.0226001491307883;x
25m%,125μ;1097.69425;385.18946140175615;9.147452083333333;3.209912178347968;x
40m%,125μ;993.0633285714285;287.82498001464774;8.275527738095239;2.3985415001220645;x
Színezett,190°C;613.522;219.202;5.113;1.827;x
Színezett,215°C;1493.12;108.23470246459773;12.442666666666666;0.9019558538716482;x
Színezett,240°C;1760.017;329.0698069414756;14.666808333333334;2.7422483911789635;x
10m%,250μ;1245.8336833333333;193.07138282314563;10.381947361111111;1.6089281901928802;x
25m%,250μ;1271.7196;204.89627428536335;10.597663333333333;1.7074689523780282;x
40m%,250μ;993.0633285714285;287.82498001464774;8.275527738095239;2.3985415001220645;x
Erősített,190°C;145.772535;142.66684059854447;1.214771125;1.188890338321204;x
Erősített,215°C;675.1497142857143;240.4322459892837;5.626247619047619;2.0036020499106977;x
Erősített,240°C;1177.1813714285715;197.56322824808697;9.809844761904762;1.646360235400725;x
10/20;1111.19596;195.72273539476194;9.259966333333333;1.6310227949563496;x
Áttetsző,190°C;677.7396285714285;297.97274691379477;5.647830238095238;2.483106224281623;x
Áttetsző,215°C;1453.1725714285715;144.59770481795013;12.109771428571428;1.204980873482918;x
Áttetsző,240°C;1453.1725714285715;144.59770481795013;12.109771428571428;1.204980873482918;x
Színezett,250bar;1387.8978;144.75619169555415;11.565815;1.2063015974629512;x
Színezett,650bar;1153.35582;198.74130932423688;9.6112985;1.6561775777019743;x
20/10;1052.5670833333334;244.66566922239346;8.771392361111111;2.038880576853279;x
